"max_depth","eta","nrounds","subsample","colsample_bytree","lambda","alpha","R2_test1","R2_test2","R2_avg","selected"
3,0.1,500,0.8,1,1,0.5,0.584433754268633,0.585676428143692,0.585055091206163,11
7,0.3,500,1,0.6,2,0.5,0.462884717640798,0.523201043953347,0.493042880797073,11
3,0.05,500,0.6,0.8,2,0.5,0.570347130847536,0.540618568745328,0.555482849796432,11
7,0.3,500,0.6,0.8,1,1,0.426326174833918,0.446073041945605,0.436199608389761,11
3,0.01,500,0.8,1,1,1,0.595813677287097,0.6402661500164,0.618039913651749,11
5,0.01,500,0.6,0.6,2,1,0.544882518902147,0.550236480211522,0.547559499556835,11
3,0.05,500,1,1,2,1,0.531019780757751,0.652081831076135,0.591550805916943,11
5,0.1,100,0.8,0.6,0.5,0,0.604719409939471,0.626995901469203,0.615857655704337,10
3,0.01,100,1,0.6,0.5,0,-1.43205599516254,-2.40833500673933,-1.92019550095094,10
5,0.01,100,0.6,0.8,1,0,-1.6293551468972,-2.60884769453672,-2.11910142071696,10
5,0.01,100,0.6,0.8,0,0.5,-1.41493638597878,-2.34272293788858,-1.87882966193368,10
9,0.01,100,0.6,0.8,0,0.5,-1.40539705176398,-2.32392074504908,-1.86465889840653,10
7,0.05,100,0.6,1,0,0.5,0.594952610886719,0.604367216840171,0.599659913863445,10
3,0.05,100,0.8,0.8,0.5,0.5,0.629901104721557,0.620994386238601,0.625447745480079,10
7,0.01,100,1,1,0.5,0.5,-1.41001486625141,-2.481598066159,-1.94580646620521,10
3,0.01,100,0.6,0.6,1,0.5,-1.60035747470067,-2.58460790018371,-2.09248268744219,10
7,0.01,100,0.8,0.8,1,0.5,-1.53030846282719,-2.52575348136666,-2.02803097209692,10
9,0.01,100,0.6,0.6,2,0.5,-1.73883611208803,-2.63496960526349,-2.18690285867576,10
3,0.01,100,0.8,1,2,0.5,-1.56831172528759,-2.58981067733838,-2.07906120131299,10
3,0.01,100,0.8,0.6,0,1,-1.41497321810135,-2.36165798906557,-1.88831560358346,10
7,0.01,100,0.6,0.6,0.5,1,-1.58278833577644,-2.5284270407111,-2.05560768824377,10
7,0.1,100,0.6,0.6,0.5,1,0.551338605976099,0.513979309108884,0.532658957542491,10
9,0.01,100,0.8,0.6,0.5,1,-1.50807780581592,-2.453702088632,-1.98088994722396,10
5,0.01,100,1,0.6,0.5,1,-1.4905436268889,-2.40876860263812,-1.94965611476351,10
5,0.3,100,1,0.8,0.5,1,0.617830377489003,0.600989521181403,0.609409949335203,10
3,0.01,100,1,0.8,2,1,-1.52365824193171,-2.50594897104446,-2.01480360648808,10
7,0.3,100,1,0.8,2,1,0.499151539281789,0.559788095740278,0.529469817511033,10
7,0.01,100,0.8,1,2,1,-1.60518050701954,-2.57805838542628,-2.09161944622291,10
7,0.3,100,0.8,1,2,1,0.497546823810995,0.560666565772769,0.529106694791882,10
5,0.01,200,0.6,1,0,0,0.391319901333635,0.182855860654734,0.287087880994184,10
7,0.01,200,0.6,0.6,0.5,0,0.30171581988169,0.104093350929181,0.202904585405435,10
5,0.01,200,0.6,0.6,1,0,0.295326860412248,0.114704866746995,0.205015863579621,10
9,0.3,200,0.6,0.6,2,0,0.128185880846172,0.334799048012187,0.23149246442918,10
7,0.05,200,0.8,0.8,2,0,0.550354645776402,0.613840779378108,0.582097712577255,10
9,0.01,200,0.8,1,0,0.5,0.399919114335759,0.177020131011657,0.288469622673708,10
9,0.1,200,0.6,1,0.5,0.5,0.577574276056873,0.551137203459554,0.564355739758214,10
9,0.05,200,0.8,0.6,1,0.5,0.545477818762509,0.625446042336859,0.585461930549684,10
5,0.3,200,1,0.8,1,0.5,0.519048139205079,0.530553052079762,0.524800595642421,10
9,0.01,200,0.6,0.6,2,0.5,0.209567390098336,0.00434105927360506,0.10695422468597,10
