"V1","V2","V3","V4"
"DataSplitting","7","0.382352941176471","0.84"
"MultipleDataSplitting","7","0.16","0.84"
"Knockoff","7","0.34375","0.84"
"BH","7","0","0.72"
"LinReg DS","7","0.0476190476190476","0.8"
"LinReg MS","7","0","0.88"
"DataSplitting","7","0.115384615384615","0.92"
"MultipleDataSplitting","7","0","0.88"
"Knockoff","7","0","0.92"
"BH","7","0","0.92"
"LinReg DS","7","0.0952380952380952","0.76"
"LinReg MS","7","0","0.76"
"DataSplitting","7","0.0476190476190476","0.8"
"MultipleDataSplitting","7","0.0869565217391304","0.84"
"Knockoff","7","0.16","0.84"
"BH","7","0","0.8"
"LinReg DS","7","0.24","0.76"
"LinReg MS","7","0.0476190476190476","0.8"
"DataSplitting","7","0.12","0.88"
"MultipleDataSplitting","7","0.0833333333333333","0.88"
"Knockoff","7","0.0434782608695652","0.88"
"BH","7","0","0.84"
"LinReg DS","7","0","0.68"
"LinReg MS","7","0.0526315789473684","0.72"
"DataSplitting","7","0.0952380952380952","0.76"
"MultipleDataSplitting","7","0.08","0.92"
"Knockoff","7","0.153846153846154","0.88"
"BH","7","0","0.76"
"LinReg DS","7","0.105263157894737","0.68"
"LinReg MS","7","0.1","0.72"
"DataSplitting","7","0","0.76"
"MultipleDataSplitting","7","0.05","0.76"
"Knockoff","7","0.173913043478261","0.76"
"BH","7","0","0.72"
"LinReg DS","7","0.05","0.76"
"LinReg MS","7","0","0.92"
"DataSplitting","7","0","0.92"
"MultipleDataSplitting","7","0","0.92"
"Knockoff","7","0","0.92"
"BH","7","0","0.92"
"LinReg DS","8","0.1","0.72"
"LinReg MS","8","0","0.72"
"DataSplitting","8","0.214285714285714","0.88"
"MultipleDataSplitting","8","0.0454545454545455","0.84"
"Knockoff","8","0.16","0.84"
"BH","8","0","0.76"
"LinReg DS","8","0.0909090909090909","0.8"
"LinReg MS","8","0","0.84"
"DataSplitting","8","0.0833333333333333","0.88"
"MultipleDataSplitting","8","0","0.88"
"Knockoff","8","0.12","0.88"
"BH","8","0","0.84"
"LinReg DS","8","0.142857142857143","0.72"
"LinReg MS","8","0","0.8"
"DataSplitting","8","0","0.84"
"MultipleDataSplitting","8","0.0454545454545455","0.84"
"Knockoff","8","0.0869565217391304","0.84"
"BH","8","0","0.8"
"LinReg DS","8","0.1","0.72"
