"Method","Delta","FDP","Power"
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.3,0.7
"Boost MS",7,0,0.6
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0,0
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0,0.5
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.529411764705882,0.8
"Boost MS",7,0.25,0.9
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0.2,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.307692307692308,0.9
"Boost MS",7,0,0.9
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,1,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",8,0,0
"Boost MS",8,0.0909090909090909,1
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,1,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0,0.7
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0.933333333333333,0.1
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0,0.5
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.272727272727273,0.8
"Boost MS",8,0.307692307692308,0.9
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.3,0.7
"Boost MS",8,0,0.6
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.2,0.8
"Boost MS",8,0,0.7
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0.909090909090909,0.1
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0,0.5
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0.857142857142857,0.2
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0.2,0.8
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,1,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.1,0.9
"Boost MS",8,0.285714285714286,1
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,1,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.652173913043478,0.8
"Boost MS",8,0.307692307692308,0.9
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.428571428571429,0.8
"Boost MS",8,0,0.8
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0.7,0.3
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0.166666666666667,0.5
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0,0
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0.111111111111111,0.8
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0.8,0.2
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0,0.3
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0,0.5
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0,0.6
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.4,0.6
"Boost MS",8,0.25,0.9
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.4,0.6
"Boost MS",8,0,0.3
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0.125,0.7
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0,0.7
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0,0.8
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0,0
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0
"Boost MS",8,0,0.7
