"Method","Delta","FDP","Power"
"Boost DS",8,0,0.64
"Boost MS",8,0,0.68
"DataSplitting",8,0,0.8
"MultipleDataSplitting",8,0,0.8
"Knockoff",8,0.125,0.84
"Benjamini–Hochberg (BH)",8,0,0.8
"Boost DS",8,0,0.6
"Boost MS",8,0,0.6
"DataSplitting",8,0,0.84
"MultipleDataSplitting",8,0.12,0.88
"Knockoff",8,0.125,0.84
"Benjamini–Hochberg (BH)",8,0,0.68
"Boost DS",8,0.166666666666667,0.8
"Boost MS",8,0,0.8
"DataSplitting",8,0,0.84
"MultipleDataSplitting",8,0,0.84
"Knockoff",8,0.12,0.88
"Benjamini–Hochberg (BH)",8,0,0.84
"Boost DS",8,0,0.6
"Boost MS",8,0.142857142857143,0.72
"DataSplitting",8,0,0.72
"MultipleDataSplitting",8,0.0952380952380952,0.76
"Knockoff",8,0.136363636363636,0.76
"Benjamini–Hochberg (BH)",8,0,0.68
"Boost DS",8,0,0.6
"Boost MS",8,0.0526315789473684,0.72
"DataSplitting",8,0.181818181818182,0.72
"MultipleDataSplitting",8,0,0.68
"Knockoff",8,0,0.76
"Benjamini–Hochberg (BH)",8,0,0.68
"Boost DS",8,0.105263157894737,0.68
"Boost MS",8,0,0.68
"DataSplitting",8,0.0869565217391304,0.84
"MultipleDataSplitting",8,0.0476190476190476,0.8
"Knockoff",8,0,0.8
"Benjamini–Hochberg (BH)",8,0,0.76
"Boost DS",8,0,0.48
"Boost MS",8,0,0.6
"DataSplitting",8,0.15,0.68
"MultipleDataSplitting",8,0.0555555555555556,0.68
"Knockoff",8,0.105263157894737,0.68
"Benjamini–Hochberg (BH)",8,0,0.64
"Boost DS",8,0,0.52
"Boost MS",8,0,0.64
"DataSplitting",8,0.125,0.84
"MultipleDataSplitting",8,0.125,0.84
"Knockoff",8,0.352941176470588,0.88
"Benjamini–Hochberg (BH)",8,0,0.76
"Boost DS",8,0,0.64
"Boost MS",8,0,0.76
"DataSplitting",8,0,0.8
"MultipleDataSplitting",8,0,0.72
"Knockoff",8,0,0.72
"Benjamini–Hochberg (BH)",8,0,0.72
"Boost DS",8,0,0.56
"Boost MS",8,0.0909090909090909,0.8
"DataSplitting",8,0.241379310344828,0.88
"MultipleDataSplitting",8,0,0.84
"Knockoff",8,0.0833333333333333,0.88
"Benjamini–Hochberg (BH)",8,0,0.8
"Boost DS",8,0,0.52
"Boost MS",8,0,0.6
"DataSplitting",8,0,0.68
"MultipleDataSplitting",8,0,0.72
"Knockoff",8,0.142857142857143,0.72
"Benjamini–Hochberg (BH)",8,0,0.72
"Boost DS",8,0,0.4
"Boost MS",8,0,0.68
"DataSplitting",8,0.0952380952380952,0.76
"MultipleDataSplitting",8,0.0869565217391304,0.84
"Knockoff",8,0.12,0.88
"Benjamini–Hochberg (BH)",8,0,0.76
"Boost DS",8,0.142857142857143,0.72
"Boost MS",8,0,0.88
"DataSplitting",8,0,0.88
"MultipleDataSplitting",8,0,0.88
"Knockoff",8,0.0833333333333333,0.88
"Benjamini–Hochberg (BH)",8,0,0.88
"Boost DS",8,0.419354838709677,0.72
"Boost MS",8,0.0869565217391304,0.84
"DataSplitting",8,0.0434782608695652,0.88
"MultipleDataSplitting",8,0,0.92
"Knockoff",8,0,0.92
"Benjamini–Hochberg (BH)",8,0,0.92
"Boost DS",8,0.2,0.64
"Boost MS",8,0,0.64
"DataSplitting",8,0.0952380952380952,0.76
"MultipleDataSplitting",8,0,0.72
"Knockoff",8,0.0454545454545455,0.84
"Benjamini–Hochberg (BH)",8,0,0.68
"Boost DS",8,0.0454545454545455,0.84
"Boost MS",8,0,0.8
"DataSplitting",8,0.148148148148148,0.92
"MultipleDataSplitting",8,0.08,0.92
"Knockoff",8,0.172413793103448,0.96
"Benjamini–Hochberg (BH)",8,0,0.92
"Boost DS",8,0.15,0.68
"Boost MS",8,0,0.8
"DataSplitting",8,0,0.96
"MultipleDataSplitting",8,0,0.96
"Knockoff",8,0.04,0.96
"Benjamini–Hochberg (BH)",8,0,0.88
"Boost DS",8,0,0.52
"Boost MS",8,0,0.68
"DataSplitting",8,0,0.76
"MultipleDataSplitting",8,0,0.76
"Knockoff",8,0.05,0.76
"Benjamini–Hochberg (BH)",8,0,0.72
"Boost DS",8,0.0625,0.6
"Boost MS",8,0,0.68
"DataSplitting",8,0.0909090909090909,0.8
"MultipleDataSplitting",8,0.16,0.84
"Knockoff",8,0.136363636363636,0.76
"Benjamini–Hochberg (BH)",8,0,0.72
"Boost DS",8,0,0.56
"Boost MS",8,0,0.84
"DataSplitting",8,0.115384615384615,0.92
"MultipleDataSplitting",8,0,0.88
"Knockoff",8,0.148148148148148,0.92
"Benjamini–Hochberg (BH)",8,0,0.88
"Boost DS",8,0.0555555555555556,0.68
"Boost MS",8,0,0.8
"DataSplitting",8,0.153846153846154,0.88
"MultipleDataSplitting",8,0,0.88
"Knockoff",8,0.12,0.88
"Benjamini–Hochberg (BH)",8,0,0.88
"Boost DS",8,0.05,0.76
"Boost MS",8,0,0.76
"DataSplitting",8,0.130434782608696,0.8
"MultipleDataSplitting",8,0.0454545454545455,0.84
"Knockoff",8,0.0909090909090909,0.8
"Benjamini–Hochberg (BH)",8,0,0.8
"Boost DS",8,0,0.56
"Boost MS",8,0,0.64
"DataSplitting",8,0.142857142857143,0.72
"MultipleDataSplitting",8,0.0526315789473684,0.72
"Knockoff",8,0.222222222222222,0.84
"Benjamini–Hochberg (BH)",8,0,0.68
"Boost DS",8,0.117647058823529,0.6
"Boost MS",8,0,0.64
"DataSplitting",8,0,0.68
"MultipleDataSplitting",8,0,0.76
"Knockoff",8,0,0.8
"Benjamini–Hochberg (BH)",8,0,0.76
"Boost DS",8,0.0526315789473684,0.72
"Boost MS",8,0.0833333333333333,0.88
"DataSplitting",8,0.12,0.88
"MultipleDataSplitting",8,0.0833333333333333,0.88
"Knockoff",8,0.148148148148148,0.92
"Benjamini–Hochberg (BH)",8,0,0.84
"Boost DS",8,0.105263157894737,0.68
"Boost MS",8,0,0.76
"DataSplitting",8,0.0869565217391304,0.84
"MultipleDataSplitting",8,0,0.84
"Knockoff",8,0.153846153846154,0.88
"Benjamini–Hochberg (BH)",8,0,0.8
"Boost DS",8,0,0.68
"Boost MS",8,0,0.64
"DataSplitting",8,0,0.8
"MultipleDataSplitting",8,0,0.76
"Knockoff",8,0.0909090909090909,0.8
"Benjamini–Hochberg (BH)",8,0,0.76
"Boost DS",8,0,0.52
"Boost MS",8,0,0.96
"DataSplitting",8,0.107142857142857,1
