"source_file","Method","Delta","FDP","Power"
"121","Benjamini–Hochberg (BH)",8,0,0
"122","Mars DS",9,0,0
"122","Mars MS",9,0,0
"122","DataSplitting",9,0,0
"122","MultipleDataSplitting",9,0,0
"122","Knockoff",9,0.909090909090909,0.2
"122","Benjamini–Hochberg (BH)",9,0,0
"123","Mars DS",10,0,0
"123","Mars MS",10,0,0.4
"123","DataSplitting",10,0,0
"123","MultipleDataSplitting",10,0,0
"123","Knockoff",10,0.91304347826087,0.2
"123","Benjamini–Hochberg (BH)",10,0,0
"124","Mars DS",11,0,0
"124","Mars MS",11,0,0.3
"124","DataSplitting",11,0,0
"124","MultipleDataSplitting",11,0,0
"124","Knockoff",11,0.909090909090909,0.2
"124","Benjamini–Hochberg (BH)",11,0,0
"125","Mars DS",12,0,0
"125","Mars MS",12,0,0.2
"125","DataSplitting",12,0,0
"125","MultipleDataSplitting",12,0,0
"125","Knockoff",12,0.904761904761905,0.2
"125","Benjamini–Hochberg (BH)",12,0,0
"126","Mars DS",13,0.181818181818182,0.9
"126","Mars MS",13,0,0.6
"126","DataSplitting",13,0,0
"126","MultipleDataSplitting",13,0,0
"126","Knockoff",13,0.91304347826087,0.2
"126","Benjamini–Hochberg (BH)",13,0,0
"127","Mars DS",7,0,0
"127","Mars MS",7,0,0.9
"127","DataSplitting",7,0,0
"127","MultipleDataSplitting",7,0,0
"127","Knockoff",7,1,0
"127","Benjamini–Hochberg (BH)",7,0,0
