"mtry","ntree","nodesize","R2_test1","R2_test2","R2_avg","selected"
200,750,10,0.651778277680667,0.69025925673204,0.671018767206353,0
200,500,16,0.649168033355756,0.69233716292666,0.670752598141208,0
200,500,25,0.64950850423986,0.691866880895729,0.670687692567795,12
200,750,3,0.653135614068444,0.688117136952623,0.670626375510534,0
100,100,25,0.653700751901581,0.687266618217993,0.670483685059787,0
150,350,10,0.647714530559399,0.692629514861636,0.670172022710518,0
150,350,16,0.649302620047319,0.690883275106073,0.670092947576696,14
150,200,2,0.6407553524532,0.699301095387849,0.670028223920524,0
150,200,16,0.643936606134512,0.696064875673622,0.670000740904067,0
200,750,4,0.651269790573743,0.688403290250737,0.66983654041224,0
200,500,2,0.650669559113569,0.688866700012876,0.669768129563223,0
200,350,25,0.649141852960595,0.689976861239155,0.669559357099875,0
200,1000,10,0.649737509002752,0.689228865637352,0.669483187320052,0
200,100,16,0.661703545802168,0.677038265421736,0.669370905611952,0
200,350,10,0.646414554121599,0.69229616690798,0.669355360514789,0
150,1000,2,0.646247024903851,0.692164888280885,0.669205956592368,0
100,750,5,0.647528709392871,0.690734029791976,0.669131369592423,0
200,200,5,0.647668943055405,0.690335967515501,0.669002455285453,0
200,200,4,0.642705848261235,0.695105383596201,0.668905615928718,0
100,200,10,0.649989505441018,0.687797898981164,0.668893702211091,0
150,750,16,0.64902771628611,0.688281420403279,0.668654568344694,0
150,350,2,0.649396241912017,0.687899549049581,0.668647895480799,0
100,350,25,0.644515812208584,0.692696804805448,0.668606308507016,0
200,500,5,0.6474059912151,0.689320432643113,0.668363211929107,0
100,350,5,0.655061738353669,0.681627670058275,0.668344704205972,0
150,500,10,0.64729232994052,0.689158049860366,0.668225189900443,13
100,750,25,0.644395555353943,0.692039151025624,0.668217353189783,0
100,200,5,0.650057321273032,0.686198764212334,0.668128042742683,0
100,1000,25,0.646140928056613,0.690080133564855,0.668110530810734,0
150,350,4,0.648798337949545,0.687320674966324,0.668059506457934,0
150,750,2,0.647239898025238,0.688843369093972,0.668041633559605,0
200,500,3,0.647831155650611,0.688025216960391,0.667928186305501,0
150,100,2,0.646774050630447,0.6886091881532,0.667691619391824,0
200,1000,5,0.646715518109329,0.688608065353525,0.667661791731427,0
150,500,2,0.643544355695492,0.691643258015787,0.667593806855639,0
100,200,4,0.644955340547241,0.689707992214449,0.667331666380845,0
200,350,4,0.649846567726368,0.684437631053411,0.667142099389889,0
150,350,25,0.639171870285399,0.695109197763861,0.66714053402463,0
200,1000,2,0.647844576790126,0.686155500918209,0.667000038854168,0
100,350,10,0.644802636846521,0.68918712352598,0.666994880186251,0
150,350,3,0.638383179810285,0.69560490318131,0.666994041495797,0
200,500,4,0.647428095939355,0.686491371588618,0.666959733763986,0
200,750,2,0.648644445989401,0.684872797071426,0.666758621530414,0
100,350,2,0.639275178449939,0.694222167438881,0.66674867294441,0
200,350,5,0.650309664729633,0.682915146795959,0.666612405762796,0
150,750,5,0.640066102497188,0.692946995567608,0.666506549032398,0
100,750,4,0.642288337001897,0.690261846376754,0.666275091689325,0
100,750,10,0.64757500533136,0.684840710657469,0.666207857994415,0
100,1000,10,0.644242551488741,0.687989183939561,0.666115867714151,0
150,100,16,0.640411364684796,0.691525573496848,0.665968469090822,0
200,200,2,0.648235351186673,0.683601947751225,0.665918649468949,0
150,750,3,0.643514457928462,0.688178417229443,0.665846437578952,0
100,1000,4,0.643999450713569,0.687351395012086,0.665675422862827,0
200,100,10,0.655266282768058,0.675954500675686,0.665610391721872,0
200,100,5,0.646525848564609,0.684496213491769,0.665511031028189,0
50,100,16,0.640987705841033,0.689974757824764,0.665481231832899,0
100,200,3,0.653540947825941,0.677261458853902,0.665401203339921,0
100,500,16,0.637995929711533,0.69245046664641,0.665223198178972,0
150,200,3,0.651866054402393,0.678437961691621,0.665152008047007,0
100,1000,2,0.640961423507491,0.689280222205845,0.665120822856668,0
150,200,10,0.646431274511903,0.683443002744966,0.664937138628435,0
100,500,25,0.642919036109105,0.686396903351423,0.664657969730264,0
100,100,5,0.640971267703815,0.687555221380177,0.664263244541996,0
200,350,3,0.648045301246429,0.680238969118234,0.664142135182332,0
100,1000,5,0.641192076872672,0.687070359726595,0.664131218299633,0
100,750,2,0.644740974980533,0.683266291794856,0.664003633387695,0
100,750,16,0.641981229228161,0.685563200223184,0.663772214725672,0
200,1000,4,0.64525060921582,0.682009643061647,0.663630126138733,0
100,500,4,0.642592596563278,0.683499864455745,0.663046230509512,0
100,500,2,0.638781121234963,0.686628322107431,0.662704721671197,0
150,100,4,0.647678926010176,0.677588204152969,0.662633565081573,0
100,100,16,0.64608786082659,0.679172947789175,0.662630404307882,0
200,200,3,0.649811553600342,0.67509680638006,0.662454179990201,0
100,1000,16,0.644121412429138,0.680744735463266,0.662433073946202,0
100,1000,3,0.636965345936226,0.687426570146131,0.662195958041178,0
50,100,3,0.631168412887974,0.6930207581597,0.662094585523837,0
100,200,2,0.636173891620742,0.687773566469786,0.661973729045264,0
