"V1" "V2" "V3" "V4" "V5" "mean_rsquared"
"result.37" 350 149 11 0.590440947243446 0.612092561724077 0.601266754483761
"result.38" 350 149 16 0.598548494337112 0.609034482808352 0.603791488572732
"result.39" 350 149 21 0.63641620099013 0.616755774292397 0.626585987641263
"result.40" 350 208 1 0.626815328340846 0.589123040437924 0.607969184389385
"result.41" 350 208 6 0.609151560251694 0.610767263376988 0.609959411814341
"result.42" 350 208 11 0.60891548445142 0.614779562210984 0.611847523331202
"result.43" 350 208 16 0.629831493527989 0.599718630425467 0.614775061976728
"result.44" 350 208 21 0.596965460077092 0.624852224751447 0.610908842414269
"result.45" 350 260 1 0.633901073149895 0.5832133827768 0.608557227963347
"result.46" 350 260 6 0.603692669243386 0.609091614946144 0.606392142094765
"result.47" 350 260 11 0.615222679252959 0.605900834813728 0.610561757033344
"result.48" 350 260 16 0.629814687517406 0.618033073832112 0.623923880674759
"result.49" 350 260 21 0.631743605833024 0.608444321007192 0.620093963420108
"result.50" 350 347 1 0.632244842877567 0.615208357570846 0.623726600224207
"result.51" 350 347 6 0.598510779769718 0.607329121231088 0.602919950500403
"result.52" 350 347 11 0.608208534564662 0.611897545861003 0.610053040212833
"result.53" 350 347 16 0.610198137130702 0.615677882348986 0.612938009739844
"result.54" 350 347 21 0.623763023092556 0.610679682349874 0.617221352721215
"result.55" 350 521 1 0.595492046255827 0.601044735208147 0.598268390731987
"result.56" 350 521 6 0.610546315324267 0.604637582984116 0.607591949154192
"result.57" 350 521 11 0.589351595172157 0.61232251646953 0.600837055820843
"result.58" 350 521 16 0.607308287938336 0.618679991409125 0.612994139673731
"result.59" 350 521 21 0.590102362726202 0.614643178942559 0.60237277083438
"result.60" 600 104 1 0.631979155252279 0.576927069541834 0.604453112397056
"result.61" 600 104 6 0.635164453024239 0.609811341175898 0.622487897100068
"result.62" 600 104 11 0.625676324413051 0.598037795238461 0.611857059825756
"result.63" 600 104 16 0.616942756910434 0.625275539212458 0.621109148061446
"result.64" 600 104 21 0.593718129443606 0.598051771701325 0.595884950572466
"result.65" 600 149 1 0.579325929777404 0.618696448868564 0.599011189322984
"result.66" 600 149 6 0.605752357920149 0.620771504156764 0.613261931038457
"result.67" 600 149 11 0.599488198361967 0.643990031997509 0.621739115179738
"result.68" 600 149 16 0.617213733791247 0.605190654155899 0.611202193973573
"result.69" 600 149 21 0.6235626501475 0.60407005782814 0.613816353987821
"result.70" 600 208 1 0.608058930434304 0.602939141744393 0.605499036089348
"result.71" 600 208 6 0.584873886867941 0.603986346528249 0.594430116698095
"result.72" 600 208 11 0.61983111929535 0.612741275929893 0.616286197612621
"result.73" 600 208 16 0.636539467515439 0.59260158829632 0.614570527905879
"result.74" 600 208 21 0.613112600954647 0.625159607154283 0.619136104054465
"result.75" 600 260 1 0.616863628387987 0.605576916039165 0.611220272213576
"result.76" 600 260 6 0.601574543630018 0.609603745322863 0.60558914447644
"result.77" 600 260 11 0.625237861749098 0.609878934748328 0.617558398248713
"result.78" 600 260 16 0.624807503489241 0.611538470680652 0.618172987084946
"result.79" 600 260 21 0.60335648319962 0.601375545189383 0.602366014194502
"result.80" 600 347 1 0.597305330528227 0.611209295424587 0.604257312976407
"result.81" 600 347 6 0.609096553075305 0.607627908629266 0.608362230852286
"result.82" 600 347 11 0.578230771016317 0.629079776972572 0.603655273994445
"result.83" 600 347 16 0.619912778136288 0.584690975292374 0.602301876714331
"result.84" 600 347 21 0.612941339865464 0.622175391175031 0.617558365520247
"result.85" 600 521 1 0.618741297216326 0.614338593643264 0.616539945429795
"result.86" 600 521 6 0.619057639004823 0.605177983896594 0.612117811450708
"result.87" 600 521 11 0.617657066232306 0.61418770042587 0.615922383329088
"result.88" 600 521 16 0.651986956492268 0.60536561936674 0.628676287929504
"result.89" 600 521 21 0.59669145771005 0.631166618149726 0.613929037929889
"result.90" 850 104 1 0.615179908903827 0.606546015396933 0.61086296215038
"result.91" 850 104 6 0.62352312478004 0.601404067763449 0.612463596271745
"result.92" 850 104 11 0.620697315533608 0.610745013415449 0.615721164474528
"result.93" 850 104 16 0.630014097269385 0.601358658646507 0.615686377957946
"result.94" 850 104 21 0.599705407049251 0.621414888108515 0.610560147578883
"result.95" 850 149 1 0.642743276349829 0.599308363216617 0.621025819783223
"result.96" 850 149 6 0.615293403642644 0.607970656557047 0.611632030099845
"result.97" 850 149 11 0.642402559548862 0.612185067409187 0.627293813479024
