"seed","Method","Delta","FDP","Power"
48,"Boost MS",7,0.0434782608695652,0.88
48,"DataSplitting",7,0.0416666666666667,0.92
48,"MultipleDataSplitting",7,0,0.88
48,"Knockoff",7,0.148148148148148,0.92
48,"Benjamini–Hochberg (BH)",7,0,0.92
49,"Boost DS",7,0.181818181818182,0.72
49,"Boost MS",7,0.2,0.8
49,"DataSplitting",7,0,0.76
49,"MultipleDataSplitting",7,0,0.84
49,"Knockoff",7,0.0454545454545455,0.84
49,"Benjamini–Hochberg (BH)",7,0,0.8
50,"Boost DS",7,0.0476190476190476,0.8
50,"Boost MS",7,0.192307692307692,0.84
50,"DataSplitting",7,0.0416666666666667,0.92
50,"MultipleDataSplitting",7,0,0.88
50,"Knockoff",7,0.0416666666666667,0.92
50,"Benjamini–Hochberg (BH)",7,0,0.84
1,"Boost DS",8,0.0833333333333333,0.88
1,"Boost MS",8,0,0.88
1,"DataSplitting",8,0.115384615384615,0.92
1,"MultipleDataSplitting",8,0,0.92
1,"Knockoff",8,0.178571428571429,0.92
1,"Benjamini–Hochberg (BH)",8,0,0.88
2,"Boost DS",8,0,0.72
2,"Boost MS",8,0,0.72
2,"DataSplitting",8,0.12,0.88
2,"MultipleDataSplitting",8,0,0.88
2,"Knockoff",8,0.12,0.88
2,"Benjamini–Hochberg (BH)",8,0,0.76
3,"Boost DS",8,0.130434782608696,0.8
3,"Boost MS",8,0.125,0.84
3,"DataSplitting",8,0.115384615384615,0.92
3,"MultipleDataSplitting",8,0,0.88
3,"Knockoff",8,0.0416666666666667,0.92
3,"Benjamini–Hochberg (BH)",8,0,0.84
4,"Boost DS",8,0.125,0.84
4,"Boost MS",8,0,0.88
4,"DataSplitting",8,0.0416666666666667,0.92
4,"MultipleDataSplitting",8,0,0.92
4,"Knockoff",8,0.0416666666666667,0.92
4,"Benjamini–Hochberg (BH)",8,0,0.88
5,"Boost DS",8,0.05,0.76
5,"Boost MS",8,0,0.76
5,"DataSplitting",8,0.0476190476190476,0.8
5,"MultipleDataSplitting",8,0,0.8
5,"Knockoff",8,0,0.8
5,"Benjamini–Hochberg (BH)",8,0,0.8
6,"Boost DS",8,0.130434782608696,0.8
6,"Boost MS",8,0,0.8
6,"DataSplitting",8,0,0.88
6,"MultipleDataSplitting",8,0.0454545454545455,0.84
6,"Knockoff",8,0.0434782608695652,0.88
6,"Benjamini–Hochberg (BH)",8,0,0.88
7,"Boost DS",8,0,0.76
7,"Boost MS",8,0,0.72
7,"DataSplitting",8,0.0952380952380952,0.76
7,"MultipleDataSplitting",8,0,0.76
7,"Knockoff",8,0.05,0.76
7,"Benjamini–Hochberg (BH)",8,0,0.76
8,"Boost DS",8,0.0476190476190476,0.8
8,"Boost MS",8,0,0.8
8,"DataSplitting",8,0.0833333333333333,0.88
8,"MultipleDataSplitting",8,0,0.84
8,"Knockoff",8,0.153846153846154,0.88
8,"Benjamini–Hochberg (BH)",8,0,0.88
9,"Boost DS",8,0.1,0.72
9,"Boost MS",8,0,0.76
9,"DataSplitting",8,0.0476190476190476,0.8
9,"MultipleDataSplitting",8,0,0.8
9,"Knockoff",8,0,0.84
9,"Benjamini–Hochberg (BH)",8,0,0.8
10,"Boost DS",8,0.0454545454545455,0.84
10,"Boost MS",8,0,0.8
10,"DataSplitting",8,0.04,0.96
10,"MultipleDataSplitting",8,0,0.92
10,"Knockoff",8,0.111111111111111,0.96
