"","Method","Delta","FDP","Power"
"323","Knockoff",7,0.0434782608695652,0.88
"324","Knockoff",8,0.08,0.92
"325","Knockoff",9,0.0434782608695652,0.88
"326","Knockoff",10,0,0.92
"327","Knockoff",11,0.115384615384615,0.92
"328","Knockoff",12,0.0434782608695652,0.88
"329","Knockoff",13,0.0416666666666667,0.92
"330","Knockoff",7,0.208333333333333,0.76
"331","Knockoff",8,0.259259259259259,0.8
"332","Knockoff",9,0.0476190476190476,0.8
"333","Knockoff",10,0.136363636363636,0.76
"334","Knockoff",11,0.173913043478261,0.76
"335","Knockoff",12,0.130434782608696,0.8
"336","Knockoff",13,0.0952380952380952,0.76
"337","Knockoff",7,0.0476190476190476,0.8
"338","Knockoff",8,0.0476190476190476,0.8
"339","Knockoff",9,0.0909090909090909,0.8
"340","Knockoff",10,0,0.8
"341","Knockoff",11,0,0.8
"342","Knockoff",12,0.0476190476190476,0.8
"343","Knockoff",13,0.0909090909090909,0.8
"344","Knockoff",7,0,0.84
"345","Knockoff",8,0,0.8
"346","Knockoff",9,0,0.84
"347","Knockoff",10,0.0476190476190476,0.8
"348","Knockoff",11,0.290322580645161,0.88
"349","Knockoff",12,0,0.88
"350","Knockoff",13,0.0476190476190476,0.8
